Hotel;Dirección;Puntuación;Reseñas;Booking.com;Expedia;Agoda;Atrapalo;Cocha
NH Collection Plaza Santiago;Av. Vitacura 2610, 7550098 Santiago, Las Condes, Región Metropolitana, Chile;8.6;2837;270687.0;201310.0;;209940.0;
The Singular Santiago;Centro;N/A;744;202660.0;;142922.0;200624.0;
Hotel Boutique Le Reve;Providencia;N/A;357;210540.0;198773.0;;178697.0;
The Ritz-Carlton, Santiago;Las Condes;N/A;1531;382641.0;317304.0;317304.0;;
Atton Vitacura;Vitacura;8.8;3517;139216.0;;;115317.0;
De Blasis B&B;Providencia;N/A;317;62339.0;;;;
Ibis Santiago Estación Central;Barrio Yungay;8.1;7375;87927.0;75179.0;;75096.0;
Best Western Premier Marina Las Condes;Las Condes;8.8;1748;454285.0;418571.0;;390985.0;
The Aubrey Boutique Hotel;Providencia;N/A;270;290400.0;;283307.0;282993.0;
Boulevard Suites Hotel;Las Condes;8.7;493;186424.0;;;146530.0;
Hotel Cumbres Lastarria;Centro;N/A;1309;180562.0;111490.0;;145663.0;
Courtyard by Marriott Santiago Las Condes;Las Condes;N/A;1053;231446.0;191926.0;;191713.0;
Lastarria Boutique Hotel;Centro;N/A;229;155208.0;;;128563.0;
Hotel Altiplanico Bellas Artes;Centro;N/A;1122;126772.0;94613.0;;;125842.0
Plaza El Bosque Nueva Las Condes;Las Condes;8.9;5105;185622.0;153926.0;;153756.0;
Renaissance Santiago Hotel;Vitacura;N/A;562;324489.0;;;;
Hotel Santiago;Las Condes;N/A;1665;388456.0;249793.0;320207.0;;
Hotel Regal Pacific Santiago;Las Condes;N/A;820;224002.0;;206392.0;215797.0;
W Santiago;Las Condes;N/A;1918;376826.0;312482.0;;312135.0;
Santiago Marriott Hotel;Las Condes;N/A;2730;254706.0;211215.0;;210980.0;
